solris_class,area_hectares,agc_tc_ha,bgc_tc_ha,soc_tc_ha,deoc_tc_ha,total_carbon_tc,ssc,ssc_density,percentage_of_total
Tilled,1249046.1767,3.62,2.61,34.24,0.5,51173421.8594,12895.7023,0.010324,25.56
Deciduous Forest,151116.5419,155.8,16.0,127.2,18.2,47934167.0948,12079.4101,0.079934,23.94
Treed Swamp,120021.8555,60.96,4.52,309.0,4.85,45527890.4321,11473.0284,0.095591,22.74
Undifferentiated,389065.9426,2.7824,5.1392,52.7808,0.654,23871685.6019,6015.6648,0.015462,11.92
Marsh,25277.4824,15.5,4.0,288.7,0.6,7805686.5632,1967.033,0.077818,3.9
Mixed Forest,21466.2711,158.5,11.75,122.2,12.6,6548285.9945,1650.1681,0.076873,3.27
Hedge Rows,14930.9495,99.9,9.0,121.25,6.75,3537141.9396,891.3598,0.059699,1.77
Built Up Area-Impervious,191639.237,0.1,0.0,14.77,0.0,2849675.4538,718.1182,0.003747,1.42
Plantation - Tree Cultivated,9458.6952,99.9,9.0,121.25,6.75,2240764.8998,564.6728,0.059699,1.12
Thicket Swamp,6794.5791,18.25,6.0,274.05,0.9,2032938.0781,512.3004,0.075398,1.02
Forest,6020.7403,158.5,11.75,122.2,12.6,1836626.8175,462.83,0.076873,0.92
Transportation,121291.9194,0.1,0.0,14.77,0.0,1803610.8413,454.5099,0.003747,0.9
Coniferous Forest,5756.7927,161.2,7.5,117.2,7.0,1686164.5909,424.9135,0.073811,0.84
Built Up Area-Pervious,43833.1616,0.1,0.0,14.77,0.0,651799.1136,164.2534,0.003747,0.33
Bog,1272.4086,10.0,0.0,318.0,0.0,417350.0112,105.1722,0.082656,0.21
Tallgrass Woodland,1132.9382,33.6,19.3,109.98,1.0,185665.9105,46.7878,0.041298,0.09
Tallgrass Savannah,473.7644,11.0,25.5,91.65,1.8,61565.6792,15.5146,0.032748,0.03
Open Tallgrass Prairie,239.9,2.7,7.6,61.1,1.0,17368.7583,4.3769,0.018245,0.01
Treed Sand Dune,248.3587,22.75,14.0,8.75,2.1,11821.8741,2.9791,0.011995,0.01
Treed Cliff and Talus,65.0139,26.37,16.28,14.62,2.4,3879.3776,0.9776,0.015037,0.0
Treed Alvar,5.7258,26.37,16.28,14.62,2.4,341.6585,0.0861,0.015037,0.0
Shrub Alvar,7.0198,13.49,3.87,25.08,2.52,315.6103,0.0795,0.011325,0.0
Fen,0.5649,10.0,0.0,318.0,0.0,185.2995,0.0467,0.082669,0.0
Open Cliff and Talus,6.0354,0.1,1.9,0.8,0.0,16.8992,0.0043,0.000712,0.0
Open Sand Dune,638.4137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Open Water,35572.1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extraction-Aggregate,5272.1646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extraction-Peat/Topsoil,19.4265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Open Beach/Bar,558.7053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
